Company,City,Country,Industry,Investor,Last Valuation,Unicorn
AKUA,Baltimore,United States,Internet,Talis Capital,9000000,0
Renew Health,San Francisco,United States,Health Care,Venrock,9000000,0
Jackpot Rising,Dallas,United States,eSports,Tech Wildcatters,9000000,0
Dignify Therapeutics,Raleigh,United States,Biotechnology,National Institutes of Health,9000000,0
Datalog.ai,Irvine,United States,Artificial Intelligence,,9000000,0
Loom.ai,San Francisco,United States,3D Technology,Y Combinator,9000000,0
Freebird Semiconductor,North Andover,United States,Internet of Things,,9000000,0
Hotelsoft,Fremont,United States,Business Intelligence,,9000000,0
Peerlyst,San Francisco,United States,B2B,Correlation Ventures,9000000,0
EveryTeam,San Francisco,United States,Information Technology,Greylock,9000000,0
EverybodyFights,Boston,United States,Fitness,Breakaway Ventures,9000000,0
MoveWith,San Francisco,United States,Apps,Founder Collective,9000000,0
Arrowlytics,Charlotte,United States,Analytics,Surgical Care Affiliates,9000000,0
NGX Bio,South Plainfield,United States,Biotechnology,Propel(X),9000000,0
Molio,Salt Lake City,United States,Advertising,Album VC,9000000,0
myDevices,Burbank,United States,Computer,Semtech,9000000,0
Rainnet Systems,Seattle,United States,Computer,,9000000,0
Tooshlights,Pacific Palisades,United States,Architecture,Buc-ee's,9000000,0
Visla Labs,San Francisco,United States,Artificial Intelligence,Lux Capital,9000000,0
Lumenari,Lexington,United States,Architecture,Revolution,9000000,0
Tio Gazpacho,New York,United States,Food and Beverage,CircleUp,9000000,0
Hammer Fiber Optics Holdings,Point Pleasant Beach,United States,Internet,,9000000,0
ADVR,San Francisco,United States,Augmented Reality,,9000000,0
Cityglobe,New York,United States,Analytics,,9000000,0
NuuED,Oakland,United States,Career Planning,,9000000,0
Girlboss,Los Angeles,United States,Communities,Lightspeed Venture Partners,9500000,0
BookNook,Oakland,United States,Children,Reach Capital,9500000,0
Future Motion,Santa Cruz,United States,Hardware,Third Sphere,9500000,0
Dockwa,Newport,United States,Mobile,Bantam Group,9500000,0
LearnPlatform,Raleigh,United States,Analytics,Techstars,9500000,0
Journy,New York,United States,Hospitality,Techstars,9500000,0
comma.ai,San Francisco,United States,Automotive,Andreessen Horowitz,9500000,0
C2Sense,Watertown,United States,Packaging Services,Alumni Ventures,9500000,0
Paravel,New York,United States,Fashion,8VC,9500000,0
BlockCypher,Redwood City,United States,Bitcoin,Blockchain Capital,9500000,0
TrueLark,Palo Alto,United States,Artificial Intelligence,Pi Ventures,9500000,0
CanopyBoulder,Boulder,United States,Finance,,9500000,0
Visbit,Sunnyvale,United States,Cloud Computing,Amino Capital,9500000,0
TellusLabs,Somerville,United States,Agriculture,MassChallenge,9500000,0
Skedaddle,New York,United States,Apps,Alumni Ventures,9500000,0
Writable,Palo Alto,United States,Education,Houghton Mifflin Harcourt,9500000,0
FreshAir Sensor,Lebanon,United States,Clean Energy,,9500000,0
Edmit,Boston,United States,Higher Education,Bessemer Venture Partners,9500000,0
UroDev Medical,Minneapolis,United States,Impact Investing,National Institutes of Health,9500000,0
EquitySim,San Francisco,United States,Recruiting,500 Global,9500000,0
Costello,Indianapolis,United States,Enterprise Software,Alumni Ventures,9500000,0
Rekener Inc.,Charlestown,United States,Analytics,Founder Collective,9500000,0
Heureka Software,Cleveland,United States,Enterprise Software,JumpStart,9500000,0
Gatheredtable,Seattle,United States,B2C,Angel Capital Management,9500000,0
Shopswell,Del Mar,United States,Content Creators,Crosslink Capital,9500000,0
Gel-E,College Park,United States,Biotechnology,National Science Foundation,9500000,0
Epicrop Technologies,Lincoln,United States,Agriculture,National Science Foundation,9500000,0
CNine Biosolutions,Birmingham,United States,Biotechnology,,9500000,0
Machina,San Francisco,United States,Financial Services,,9500000,0
Ordr,Santa Clara,United States,Artificial Intelligence,Mayo Clinic,10000000,0
TUSHY,Brooklyn,United States,Home Health Care,Unorthodox Ventures,10000000,0
Upfluence,New York,United States,Advertising,Isai,10000000,0
Boom Entertainment,New York,United States,Casino,StartX (Stanford-StartX Fund),10000000,0
Madorra,Portland,United States,Health Care,51 Labs,10000000,0
Phenix,Chicago,United States,Content Delivery Network,KB Partners,10000000,0
Bloomlife,San Francisco,United States,Fitness,National Science Foundation,10000000,0
Paysa,Palo Alto,United States,Customer Service,New Enterprise Associates,10000000,0
Yo,San Francisco,United States,Apps,Betaworks,10000000,0
WEVO,Boston,United States,Artificial Intelligence,York IE,10000000,0
Dina,Chicago,United States,Health Care,Chicago Ventures,10000000,0
Hedron,Cambridge,United States,Aerospace,500 Global,10000000,0
Long Game,San Francisco,United States,Finance,Alumni Ventures,10000000,0
Rodo,New York,United States,Automotive,IAC,10000000,0
Wishi,New York,United States,E-Commerce,Seedrs,10000000,0
The Stable,Minneapolis,United States,Consulting,Growth Catalyst Partners,10000000,0
Espresa,Palo Alto,United States,Employee Benefits,Crosslink Capital,10000000,0
Naya Health,Redwood City,United States,Big Data,StartX (Stanford-StartX Fund),10000000,0
Haystack News,Redwood City,United States,News,StartX (Stanford-StartX Fund),10000000,0
App Orchid,San Ramon,United States,Artificial Intelligence,Espresso Capital,10000000,0
Pulse,San Francisco,United States,Crowdsourcing,Y Combinator,10000000,0
Codementor,Mountain View,United States,Developer Tools,Techstars,10000000,0
Packlane,Berkeley,United States,E-Commerce,Draper Associates,10000000,0
KickUp,Philadelphia,United States,Analytics,Ben Franklin Technology Partners of Southeastern Pennsylvania,10000000,0
ClientSuccess,Lehi,United States,Enterprise Software,Techstars,10000000,0
Homeis,New York,United States,Communities,Samsung NEXT,10000000,0
Accrualify,San Mateo,United States,Accounting,Aligned Partners,10000000,0
Alastin Skincare,Carlsbad,United States,Beauty,,10000000,0
Sales Rabbit,Lehi,United States,Cloud Computing,Kickstart,10000000,0
Carrot Fertility,Menlo Park,United States,Employee Benefits,OrbiMed,10000000,0
Squadle,Cambridge,United States,Big Data,500 Global,10000000,0
CloudLex,New York,United States,Information Technology,Riverside Company,10000000,0
